iter	Logloss
0	0.6739658442
1	0.670252321
2	0.6559872445
3	0.653252834
4	0.6520347487
5	0.6405969481
6	0.6390407714
7	0.6359201384
8	0.6326220782
9	0.6186844646
10	0.6158416666
11	0.6016485286
12	0.6009255708
13	0.5984569507
14	0.5978165412
15	0.5972132875
16	0.5901951916
17	0.5808942535
18	0.5784789342
19	0.578023343
20	0.5772657274
21	0.5768624702
22	0.5764825869
23	0.5761247194
24	0.5672832744
25	0.5669782461
26	0.5661382274
27	0.5606977331
28	0.5497773572
29	0.5429937323
30	0.5427709711
31	0.5410767759
32	0.5327518716
33	0.532559267
34	0.531074446
35	0.5309043673
36	0.5307441252
37	0.528949629
38	0.521727425
39	0.5156489945
40	0.5146774671
41	0.5145624059
42	0.5097820356
43	0.5096788531
44	0.5089247242
45	0.5039008834
46	0.4987929988
47	0.4974092339
48	0.4898008459
49	0.4870900662
50	0.4843590648
51	0.4806249336
52	0.4805672453
53	0.4805128854
54	0.4804616617
55	0.4794936787
56	0.4750694341
57	0.4730049082
58	0.472964991
59	0.4676460715
60	0.465438847
61	0.4650022077
62	0.4606664842
63	0.4602562006
64	0.4602282572
65	0.4588207134
66	0.4560488769
67	0.4556903139
68	0.4556678411
69	0.454431148
70	0.4509032471
71	0.4470320399
72	0.4470120646
73	0.4457373333
74	0.4457141993
75	0.4450676498
76	0.4450407994
77	0.4439175823
78	0.4436546993
79	0.4394483921
80	0.438743539
81	0.4374767423
82	0.435932313
83	0.4340574307
84	0.4338235742
85	0.4338152924
86	0.4328965923
87	0.4323347745
88	0.4321406012
89	0.4321339582
90	0.4319317016
91	0.4308890959
92	0.4308837264
93	0.4308786658
94	0.4301960875
95	0.4294601366
96	0.4294560374
97	0.4293550485
98	0.4291667651
99	0.4286634813
100	0.4284364849
101	0.4284334803
102	0.425935001
103	0.4259316562
104	0.4257048293
105	0.4256024151
106	0.4236965678
107	0.4236936683
108	0.4228016028
109	0.4226004402
110	0.4224831443
111	0.4223369949
112	0.4223348924
113	0.4220183351
114	0.4207837778
115	0.4206235836
116	0.4206219751
117	0.4201185073
118	0.420030126
119	0.4198548784
120	0.4197981734
121	0.4182982377
122	0.4182970371
123	0.4182959054
124	0.4180890923
