iter	Passed	Remaining
0	1	1671
1	2	1218
2	3	1232
3	4	1148
4	5	1052
5	6	1043
6	7	1000
7	7	973
8	8	959
9	9	965
10	10	948
11	13	1075
12	13	1056
13	14	1033
14	15	1009
15	16	987
16	16	971
17	17	961
18	18	956
19	19	944
20	20	935
21	20	924
22	21	914
23	22	904
24	23	909
25	24	900
26	24	894
27	25	889
28	27	923
29	28	921
30	29	915
31	30	915
32	31	921
33	32	914
34	33	914
35	33	907
36	34	902
37	35	898
38	37	922
39	38	921
40	39	915
41	39	910
42	40	907
43	41	903
44	42	906
45	43	908
46	52	1063
47	53	1060
48	55	1075
49	56	1072
50	57	1069
51	58	1066
52	59	1059
53	60	1052
54	60	1045
55	62	1046
56	64	1073
57	65	1065
58	66	1060
59	68	1070
60	69	1070
61	70	1064
62	71	1064
63	72	1062
64	73	1055
65	74	1048
66	75	1044
67	75	1041
68	76	1035
69	77	1031
70	78	1031
71	79	1029
72	80	1023
73	81	1019
74	82	1014
75	83	1010
76	83	1005
77	84	1003
78	85	999
79	165	1898
80	166	1886
81	167	1873
82	168	1859
83	169	1851
84	170	1836
85	171	1820
86	172	1807
87	173	1795
88	174	1781
89	174	1767
90	175	1753
91	176	1741
92	177	1728
93	177	1715
94	178	1702
95	179	1691
96	180	1678
97	181	1666
98	181	1655
99	182	1644
100	183	1634
101	184	1622
102	185	1614
103	186	1602
104	186	1592
105	187	1582
106	188	1574
107	189	1564
108	190	1555
109	191	1546
110	191	1537
111	192	1528
112	193	1519
113	194	1511
114	195	1503
115	196	1494
116	196	1485
117	197	1478
118	198	1470
119	199	1462
120	200	1454
121	201	1451
122	202	1442
123	203	1434
124	203	1427
125	204	1419
126	205	1411
127	206	1405
128	206	1397
129	207	1389
130	208	1384
131	209	1378
132	210	1371
133	211	1365
134	212	1359
135	212	1352
136	213	1345
137	214	1338
138	215	1332
139	215	1325
140	216	1319
141	217	1313
142	219	1316
143	220	1310
144	221	1304
145	222	1298
146	222	1293
147	223	1287
148	224	1282
149	225	1278
150	226	1274
151	227	1269
152	228	1263
153	229	1258
154	229	1252
155	230	1249
156	231	1244
157	235	1252
158	235	1247
159	236	1243
160	237	1240
161	238	1235
162	239	1230
163	240	1225
164	241	1222
165	242	1218
166	243	1214
167	244	1209
168	244	1204
169	245	1200
170	246	1197
171	248	1194
172	248	1189
173	249	1184
174	250	1181
175	251	1177
176	252	1173
177	253	1168
178	253	1163
179	254	1159
180	255	1155
181	256	1151
182	262	1173
183	263	1168
184	264	1163
185	265	1159
186	265	1155
187	266	1151
188	267	1146
189	269	1147
190	270	1144
191	270	1139
192	271	1136
193	273	1135
194	274	1131
195	274	1127
196	275	1123
197	276	1120
198	277	1115
199	277	1111
200	278	1108
201	279	1104
202	280	1102
203	282	1100
204	283	1098
205	284	1096
206	285	1093
207	286	1089
208	287	1086
209	287	1082
210	288	1079
211	289	1075
212	290	1073
213	291	1069
214	296	1083
215	297	1080
216	298	1078
217	299	1075
218	300	1072
219	301	1068
220	302	1065
221	303	1062
222	304	1059
223	305	1056
224	305	1053
225	306	1049
226	308	1051
227	309	1048
228	310	1045
229	311	1041
230	311	1038
231	312	1035
232	313	1032
233	314	1029
234	315	1027
235	316	1024
236	317	1021
237	318	1018
238	318	1015
239	319	1013
240	320	1009
241	321	1006
242	322	1005
243	323	1003
244	324	1000
245	325	998
246	326	995
247	327	993
248	328	991
249	329	989
250	330	986
251	334	993
252	335	991
253	336	988
254	337	986
255	338	983
256	339	980
257	340	979
258	341	976
259	342	974
260	343	972
261	344	969
262	345	966
263	345	964
264	346	961
265	347	959
266	348	956
267	349	954
268	350	951
269	351	949
270	352	947
271	352	944
272	353	941
273	354	939
274	356	938
275	356	935
276	357	932
277	358	930
278	358	927
279	359	925
280	360	922
281	361	920
282	362	918
283	364	918
284	365	916
285	366	914
286	367	912
287	368	910
288	368	907
289	369	905
290	370	903
291	371	901
292	372	898
293	373	897
294	374	895
295	375	893
296	376	891
297	377	889
298	378	887
299	379	885
300	380	883
301	381	881
302	381	878
303	382	876
304	383	873
305	384	871
306	385	870
307	386	868
308	388	869
309	389	867
310	390	865
311	391	863
312	392	862
313	393	860
314	394	858
315	395	856
316	396	853
317	397	852
318	400	853
319	400	851
320	401	849
321	402	847
322	403	845
323	404	843
324	405	841
325	411	851
326	412	849
327	413	847
328	416	849
329	417	847
330	418	845
331	419	843
332	420	841
333	420	839
334	421	837
335	423	836
336	424	834
337	425	832
338	425	830
339	426	828
340	427	826
341	428	823
342	429	822
343	430	820
344	431	818
345	431	816
346	432	814
347	433	812
348	434	810
349	435	808
350	436	807
351	437	805
352	438	803
353	439	801
354	440	799
355	440	797
356	441	795
357	442	793
358	444	793
359	445	791
360	445	789
361	446	787
362	448	786
363	449	784
364	449	782
365	450	780
366	451	778
367	452	777
368	454	777
369	455	775
370	456	774
371	457	772
372	458	771
373	459	768
374	460	767
375	461	765
376	462	763
377	462	761
378	463	760
379	464	758
380	465	756
381	466	754
382	467	752
383	468	751
384	469	749
385	470	747
386	470	745
387	471	744
388	472	742
389	474	742
390	476	742
391	477	740
392	478	739
393	479	737
394	480	735
395	481	733
396	482	732
397	482	730
398	483	728
399	484	726
400	485	724
401	486	723
402	487	721
403	488	721
404	489	719
405	490	717
406	491	715
407	492	714
408	493	712
409	494	711
410	495	709
411	496	707
412	497	706
413	497	704
414	498	703
415	500	701
416	500	700
417	501	698
418	502	696
419	503	694
420	503	693
421	504	691
422	505	689
423	506	688
424	507	686
425	508	685
426	509	683
427	510	682
428	511	681
429	512	679
430	513	678
431	515	677
432	516	675
433	516	674
434	517	672
435	520	672
436	536	691
437	538	691
438	539	689
439	542	690
440	598	758
441	599	756
442	601	755
443	602	753
444	602	751
445	604	750
446	604	748
447	605	746
448	606	744
449	607	743
450	608	741
451	610	739
452	611	738
453	613	737
454	615	737
455	617	736
456	617	734
457	619	732
458	620	730
459	621	729
460	621	727
461	623	726
462	624	724
463	626	723
464	627	722
465	628	720
466	630	719
467	631	717
468	632	715
469	633	714
470	634	712
471	635	710
472	636	708
473	637	707
474	638	705
475	639	703
476	640	702
477	641	700
478	641	698
479	642	696
480	643	694
481	678	729
482	679	727
483	681	726
484	682	724
485	682	722
486	684	720
487	685	718
488	685	716
489	686	714
490	687	713
491	689	711
492	690	709
493	691	707
494	692	706
495	694	705
496	695	703
497	695	701
498	697	700
499	698	698
500	699	696
501	700	694
502	701	692
503	702	690
504	703	689
505	704	687
506	706	686
507	707	685
508	707	682
509	708	681
510	709	679
511	710	677
512	711	675
513	713	674
514	714	672
515	715	671
516	716	669
517	717	667
518	717	665
519	718	663
520	719	661
521	720	659
522	721	658
523	722	656
524	723	654
525	724	652
526	724	650
527	725	648
528	727	647
529	729	647
530	730	645
531	731	643
532	732	641
533	733	640
534	734	638
535	735	636
536	736	635
537	737	633
538	738	631
539	740	630
540	741	629
541	742	627
542	743	626
543	745	624
544	746	623
545	747	621
546	748	620
547	749	618
548	751	617
549	752	615
550	753	614
551	754	612
552	755	611
553	757	609
554	760	609
555	760	607
556	762	606
557	765	606
558	766	604
559	768	603
560	769	602
561	770	600
562	771	598
563	772	597
564	773	595
565	774	593
566	775	592
567	776	590
568	777	589
569	778	587
570	779	585
571	781	584
572	781	582
573	782	580
